fpr,tpr,method
0.18807692307692309,0.6045333333333334,FedTROS-PR
0.18823076923076923,0.6049333333333333,FedTROS-PR
0.18833333333333332,0.6056666666666667,FedTROS-PR
0.18833333333333332,0.6057333333333333,FedTROS-PR
0.18835897435897436,0.6057333333333333,FedTROS-PR
0.18876923076923077,0.6066666666666667,FedTROS-PR
0.18902564102564104,0.6072,FedTROS-PR
0.18943589743589745,0.6078666666666667,FedTROS-PR
0.1896153846153846,0.608,FedTROS-PR
0.18971794871794873,0.6080666666666666,FedTROS-PR
0.18987179487179487,0.6082666666666666,FedTROS-PR
0.18994871794871795,0.6082666666666666,FedTROS-PR
0.19005128205128205,0.6084,FedTROS-PR
0.19030769230769232,0.6096,FedTROS-PR
0.19133333333333333,0.6107333333333334,FedTROS-PR
0.19166666666666668,0.6110666666666666,FedTROS-PR
0.19174358974358974,0.6113333333333333,FedTROS-PR
0.192,0.6115333333333334,FedTROS-PR
0.19292307692307692,0.6144666666666667,FedTROS-PR
0.19302564102564101,0.6146,FedTROS-PR
0.19317948717948719,0.6146666666666667,FedTROS-PR
0.1934871794871795,0.6158,FedTROS-PR
0.1935128205128205,0.6158,FedTROS-PR
0.19397435897435897,0.6171333333333333,FedTROS-PR
